task_pool_id,representation,n,mean,std,min,median,p95,max
1,q_count,100,1.0,0.0,1.0,1.0,1.0,1.0
1,q_data,100,1.0000000000000002,0.4965324726801161,0.31446540880503143,0.8844339622641508,2.0224056603773573,2.594339622641509
1,q_llm,100,0.9999999999999997,0.1960049085489952,0.4854368932038835,0.970873786407767,1.2135922330097086,1.6990291262135921
2,q_count,100,1.0,0.0,1.0,1.0,1.0,1.0
2,q_data,100,0.9999999999999999,0.6674062341373184,0.20308692120227456,0.8123476848090982,2.39642567018684,4.0211210398050365
2,q_llm,100,1.0,0.19876846174679733,0.49504950495049505,0.9900990099009901,1.2376237623762376,1.2376237623762376
3,q_count,100,1.0,0.0,1.0,1.0,1.0,1.0
3,q_data,100,1.0,0.5696861926539345,0.2749410840534171,0.8641005498821681,2.280047132757266,3.220738413197172
3,q_llm,100,0.9999999999999999,0.205497985704157,0.48426150121065376,0.9685230024213075,1.2106537530266344,1.6949152542372883
4,q_count,100,1.0,0.0,1.0,1.0,1.0,1.0
4,q_data,100,1.0,0.8925802718958026,0.20325203252032523,0.7259001161440186,3.5438443670150988,4.006968641114983
4,q_llm,100,1.0000000000000002,0.18236199569360975,0.47348484848484845,0.9469696969696969,1.183712121212121,1.5151515151515151
5,q_count,100,1.0,0.0,1.0,1.0,1.0,1.0
5,q_data,100,0.9999999999999999,0.7610375111296243,0.26758409785932724,0.7262996941896025,2.398700305810396,3.8608562691131496
5,q_llm,100,0.9999999999999999,0.1990545477619605,0.49333991119881604,0.9866798223976321,1.2333497779970402,1.5786877158362114
